# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1250 20 7999.999999999999
  13 0.625 451 267.805
  14 0.675 470.5 279.066
  15 0.725 440.9 261.387
  16 0.775 422.9 290.266
  17 0.825 388.2 285.637
  18 0.875 351.2 282.8
  19 0.925 308 259.847
  20 0.975 280.8 280.215
1800 20 8000
  1 0.025 266.5 290.635
  2 0.075 341.2 269.975
  3 0.125 379.5 262.235
  4 0.175 427.5 264.978
  5 0.225 441.9 277.79
  6 0.275 395.2 262.346
  7 0.325 397.5 274.673
  8 0.375 457.1 275.429
  9 0.425 428.7 286.458
  10 0.475 457.7 262.301
  11 0.525 397.8 260.385
  12 0.575 494.6 260.736
  13 0.625 456.9 278.953
  14 0.675 467.8 272.689
  15 0.725 437.5 257.721
  16 0.775 421.3 284.678
  17 0.825 378.9 285.633
  18 0.875 363.5 279.095
  19 0.925 306.3 258.274
  20 0.975 282.6 270.397
1850 20 8000.000000000001
  1 0.025 268.7 285.044
  2 0.075 343.5 266.23
  3 0.125 376.5 267.194
  4 0.175 430.8 258.934
  5 0.225 435.7 275.814
  6 0.275 396.6 266.242
  7 0.325 395 262.142
  8 0.375 461.3 269.415
  9 0.425 423.7 278.38
  10 0.475 462.8 261.721
  11 0.525 402.6 264.177
  12 0.575 482.7 253.627
  13 0.625 456 278.202
  14 0.675 470.5 264.599
  15 0.725 441.8 261.394
  16 0.775 421.5 281.701
  17 0.825 371.6 277.688
  18 0.875 365.2 278.539
  19 0.925 312.8 265.609
  20 0.975 280.7 270.998
1900 20 8000.000000000001
  1 0.025 268.7 283.912
  2 0.075 340.5 260.161
  3 0.125 378.1 273.913
  4 0.175 428.6 255.673
  5 0.225 435.1 279.376
  6 0.275 397.4 265.639
  7 0.325 394.1 263.933
  8 0.375 463 277.418
  9 0.425 420.7 272.803
  10 0.475 467.1 263.148
  11 0.525 402.2 262.599
  12 0.575 479.6 257.242
  13 0.625 457 273.478
  14 0.675 468.3 269.192
  15 0.725 445.6 269.754
  16 0.775 418.2 280.892
  17 0.825 374.2 281.75
  18 0.875 359.4 275.636
  19 0.925 318.6 263.778
  20 0.975 283.6 276.628
1950 20 8000
  1 0.025 274 287.112
  2 0.075 332.1 260.715
  3 0.125 387.4 259.879
  4 0.175 428.4 259.209
  5 0.225 432.1 277.785
  6 0.275 392.2 262.78
  7 0.325 397.7 275.925
  8 0.375 466.6 261.113
  9 0.425 421.7 281.12
  10 0.475 461.2 263.505
  11 0.525 406.7 257.372
  12 0.575 479.6 256.727
  13 0.625 453.1 274.712
  14 0.675 464.4 265.536
  15 0.725 447.1 269.994
  16 0.775 416.6 270.783
  17 0.825 370.9 271.373
  18 0.875 362.7 284.255
  19 0.925 321 262.306
  20 0.975 284.5 273.944
2000 20 8000
  1 0.025 275.8 288.335
  2 0.075 329.9 253.731
  3 0.125 391.6 271.386
  4 0.175 428.4 254.854
  5 0.225 427.9 286.677
  6 0.275 393.7 260.22
  7 0.325 397.5 267.475
  8 0.375 467.8 263.516
  9 0.425 424.6 279.8
  10 0.475 450 254.554
  11 0.525 414.3 266.775
  12 0.575 472.5 248.259
  13 0.625 463.3 261.831
  14 0.675 459.5 266.345
  15 0.725 444.5 272.114
  16 0.775 416.1 266.27
  17 0.825 372.6 278.035
  18 0.875 362.7 283.825
  19 0.925 321.9 261.626
  20 0.975 285.4 282.744
2050 20 7999.999999999997
  1 0.025 277.7 282.41
  2 0.075 324.2 268.198
  3 0.125 399.1 268.356
  4 0.175 429.8 260.989
  5 0.225 426.1 292.983
  6 0.275 394.2 277.246
  7 0.325 395.7 271.57
  8 0.375 466.6 271.002
  9 0.425 429.6 278.515
  10 0.475 440.1 267.659
  11 0.525 417.2 271.126
  12 0.575 471.4 265.794
  13 0.625 461.4 264.032
  14 0.675 464.2 270.127
  15 0.725 443.4 277.849
  16 0.775 409.7 272.238
  17 0.825 373.8 283.003
  18 0.875 367.2 290.684
  19 0.925 318.4 270.988
  20 0.975 290.2 288.977
2100 20 8000.000000000001
  1 0.025 282.8 287.959
  2 0.075 326.5 258.432
  3 0.125 399.7 270.282
  4 0.175 431.6 262.574
  5 0.225 421 291.947
  6 0.275 396.1 270.39
  7 0.325 397 282.072
  8 0.375 461.3 274.744
  9 0.425 433.1 280.062
  10 0.475 436.1 276.096
  11 0.525 420.6 271.858
  12 0.575 471.2 270.883
  13 0.625 456.8 258.556
  14 0.675 458 263.223
  15 0.725 448 283.397
  16 0.775 415.1 268.187
  17 0.825 364.8 283.949
  18 0.875 373.3 293.636
  19 0.925 320.8 263.71
  20 0.975 286.2 286.384
2150 20 7999.999999999999
  1 0.025 290.7 294.226
  2 0.075 322.4 258.477
  3 0.125 399.8 267.924
  4 0.175 437.3 266.956
  5 0.225 415.5 294.451
  6 0.275 397.1 272.802
  7 0.325 397.5 283.208
  8 0.375 458.1 273.206
  9 0.425 432.4 270.759
  10 0.475 435.2 276.717
  11 0.525 426.7 271.297
  12 0.575 465.9 278.533
  13 0.625 455.3 262.736
  14 0.675 460.4 260.273
  15 0.725 445.9 281.177
  16 0.775 416.4 267.931
  17 0.825 360.3 285.537
  18 0.875 371.9 295.197
  19 0.925 324.6 267.3
  20 0.975 286.6 300.975
2200 20 8000
  1 0.025 292.9 297.125
  2 0.075 325.4 265.925
  3 0.125 395.1 269.228
  4 0.175 443.4 266.134
  5 0.225 413 295.762
  6 0.275 401.3 274.235
  7 0.325 397.7 284.773
  8 0.375 448.3 275.2
  9 0.425 436.7 276.918
  10 0.475 432.8 287.641
  11 0.525 430 276.087
  12 0.575 466.5 272.487
  13 0.625 451.6 264.205
  14 0.675 460.4 264.635
  15 0.725 445.4 278.359
  16 0.775 411.7 276.105
  17 0.825 366 287.967
  18 0.875 370 298.513
  19 0.925 323.3 268.897
  20 0.975 288.5 303.55
2250 20 8000
  1 0.025 299.6 291.8
  2 0.075 326.4 263.436
  3 0.125 391.8 265.661
  4 0.175 438.3 269.164
  5 0.225 417.9 288.185
  6 0.275 400.3 272.51
  7 0.325 400.2 281.698
  8 0.375 436.7 276.806
  9 0.425 448.2 279.386
  10 0.475 426.2 285.707
  11 0.525 432.5 271.176
  12 0.575 468.8 272.964
  13 0.625 447.9 271.387
  14 0.675 461.6 263.12
  15 0.725 442.4 280.922
  16 0.775 412.3 281.805
  17 0.825 368.1 288.038
  18 0.875 371.1 290.109
  19 0.925 315.7 273.388
  20 0.975 294 305.04
2300 20 8000.000000000001
  1 0.025 304.3 288.245
  2 0.075 333.7 262.016
  3 0.125 384.3 262.091
  4 0.175 442.8 273.473
  5 0.225 412.5 282.224
  6 0.275 405.6 262.673
  7 0.325 399.5 283.037
  8 0.375 433.4 272.058
  9 0.425 442.4 275.384
  10 0.475 427.5 271.562
  11 0.525 440.7 275.383
  12 0.575 468.6 269.843
  13 0.625 445.1 267.183
  14 0.675 460.8 271.543
  15 0.725 436.8 281.483
  16 0.775 417.7 280.567
  17 0.825 362.6 289.22
  18 0.875 376.1 287.379
  19 0.925 317.4 263.203
  20 0.975 288.2 300.64
2350 20 8000
  1 0.025 303.6 285.02
  2 0.075 337.5 265.01
  3 0.125 386.3 249.183
  4 0.175 443.7 277.022
  5 0.225 410.3 278.941
  6 0.275 397.6 258.832
  7 0.325 400.7 284.967
  8 0.375 432.4 265.036
  9 0.425 448.4 271.041
  10 0.475 426.2 262.061
  11 0.525 450.7 267.157
  12 0.575 457.1 267.552
  13 0.625 446 272.849
  14 0.675 459.1 260.027
  15 0.725 434.9 270.211
  16 0.775 423.1 273.716
  17 0.825 356.1 292.482
  18 0.875 380.2 278.312
  19 0.925 319.2 266.514
  20 0.975 286.9 298.823
2400 20 8000.000000000001
  1 0.025 298.3 277.726
  2 0.075 344.2 263.615
  3 0.125 389.2 263.993
  4 0.175 437.3 276.457
  5 0.225 417.7 278.546
  6 0.275 393.3 265.269
  7 0.325 397.3 273.709
  8 0.375 430.8 270.244
  9 0.425 449.9 275.341
  10 0.475 427.6 259.317
  11 0.525 452.1 268.264
  12 0.575 451.8 268.741
  13 0.625 447.7 267.722
  14 0.675 457 254.433
  15 0.725 436.7 276.499
  16 0.775 422.5 271.909
  17 0.825 352.9 275.182
  18 0.875 386.1 289.522
  19 0.925 314.3 264.82
  20 0.975 293.3 297.113
2450 20 8000.000000000001
  1 0.025 297.2 278.033
  2 0.075 348.2 262.315
  3 0.125 393.6 251.451
  4 0.175 431.7 278.476
  5 0.225 419.8 277.433
  6 0.275 391.9 256.722
  7 0.325 394.8 268.777
  8 0.375 432.4 262.926
  9 0.425 452 278.217
  10 0.475 417.9 247.917
  11 0.525 460.2 265.556
  12 0.575 459.9 255.191
  13 0.625 441.6 267.143
  14 0.675 449.3 251.788
  15 0.725 435.9 263.976
  16 0.775 421.9 272.031
  17 0.825 356.8 277.169
  18 0.875 384.8 292.496
  19 0.925 317 255.815
  20 0.975 293.1 285.986
2500 20 7999.999999999999
  1 0.025 293.7 277.591
  2 0.075 348.6 262.634
  3 0.125 395.9 253.509
  4 0.175 422.6 274.427
  5 0.225 423.3 288.894
  6 0.275 393.9 256.046
  7 0.325 397 263.684
  8 0.375 433.3 260.836
  9 0.425 454 279.579
  10 0.475 411.2 257.098
  11 0.525 461 260.77
  12 0.575 462.7 264.437
  13 0.625 440.5 260.103
  14 0.675 444.3 246.843
  15 0.725 436 274.69
  16 0.775 424.4 265.748
  17 0.825 351.4 265.065
  18 0.875 393.7 286.111
  19 0.925 315.5 268.741
  20 0.975 297 285.17
2550 20 8000
  1 0.025 287.4 271.45
  2 0.075 352.5 260.324
  3 0.125 398.2 266.577
  4 0.175 419.8 278.607
  5 0.225 425.4 287.425
  6 0.275 393.6 264.119
  7 0.325 399.1 263.83
  8 0.375 426.9 272.361
  9 0.425 460.5 283.502
  10 0.475 406.9 252.73
  11 0.525 457 269.612
  12 0.575 471.5 268.588
  13 0.625 431.5 266.156
  14 0.675 446.7 255.33
  15 0.725 431 279.715
  16 0.775 432.3 271.825
  17 0.825 349.6 276.476
  18 0.875 396.1 290.674
  19 0.925 312.1 265.455
  20 0.975 301.9 301.13
2600 20 8000
  1 0.025 287.4 276.974
  2 0.075 352.6 267.096
  3 0.125 397.6 264.231
  4 0.175 421.4 273.33
  5 0.225 424.5 283.815
  6 0.275 392.1 253.488
  7 0.325 403.7 275.345
  8 0.375 424.2 264.022
  9 0.425 461.8 279.036
  10 0.475 405.6 256.603
  11 0.525 457.9 269.753
  12 0.575 470.9 268.842
  13 0.625 425.1 259.725
  14 0.675 452 252.598
  15 0.725 430.6 282.083
  16 0.775 432.1 263.883
  17 0.825 349.3 289.15
  18 0.875 392.7 285.629
  19 0.925 313.4 274.782
  20 0.975 305.1 291.581
2650 20 8000.000000000001
  1 0.025 288.5 289.675
  2 0.075 357.6 275.584
  3 0.125 397.3 264.733
  4 0.175 419 270.328
  5 0.225 423.7 291.774
  6 0.275 394.9 267.833
  7 0.325 401 274.943
  8 0.375 418.4 268.576
  9 0.425 472.7 280.748
  10 0.475 406.5 268.033
  11 0.525 452.1 277.878
  12 0.575 467.1 272.568
  13 0.625 427.1 259.683
  14 0.675 448.1 263.488
  15 0.725 434.9 284.994
  16 0.775 424.2 269.681
  17 0.825 355.6 276.656
  18 0.875 389.1 296.46
  19 0.925 316.7 280.836
  20 0.975 305.5 286.54
2700 20 8000.000000000001
  1 0.025 280.1 289.431
  2 0.075 361.7 281.109
  3 0.125 403 261.883
  4 0.175 418.8 277.541
  5 0.225 417.8 287.766
  6 0.275 400.8 263.114
  7 0.325 394 285.231
  8 0.375 413.9 273.77
  9 0.425 479.4 272.38
  10 0.475 409.8 273.271
  11 0.525 442.1 272.94
  12 0.575 470.8 276.172
  13 0.625 432.6 263.181
  14 0.675 441.8 256.461
  15 0.725 432.2 296.463
  16 0.775 426.8 273.454
  17 0.825 354.2 277.915
  18 0.875 393.5 289.5
  19 0.925 308.2 282.877
  20 0.975 318.5 298.644
2750 20 7999.999999999999
  1 0.025 282.5 284.461
  2 0.075 361.6 284.803
  3 0.125 399.9 262.266
  4 0.175 422.5 286.383
  5 0.225 412.6 287.599
  6 0.275 405.2 259.6
  7 0.325 393.2 278.179
  8 0.375 414.7 269.924
  9 0.425 474 274.38
  10 0.475 412.7 269.877
  11 0.525 441.4 264.157
  12 0.575 474.9 273.758
  13 0.625 423.6 267.298
  14 0.675 445.9 257.381
  15 0.725 433.1 282.28
  16 0.775 425.8 265.685
  17 0.825 356 282.979
  18 0.875 391.7 286.457
  19 0.925 307.2 284.8
  20 0.975 321.5 299.331
2800 20 8000
  1 0.025 284.5 279.625
  2 0.075 358 285.993
  3 0.125 400.2 265.343
  4 0.175 418.2 278.902
  5 0.225 414.6 304.287
  6 0.275 405.6 262.167
  7 0.325 397.8 275.74
  8 0.375 412 281.179
  9 0.425 469.1 270.228
  10 0.475 422.9 271.482
  11 0.525 438 273.787
  12 0.575 467.3 274.848
  13 0.625 422.2 277.079
  14 0.675 450 259.772
  15 0.725 433.4 282.309
  16 0.775 426.5 271.444
  17 0.825 355.3 265.834
  18 0.875 392.8 297.337
  19 0.925 305.1 277.756
  20 0.975 326.5 305.172
2850 20 8000
  1 0.025 283.6 279.606
  2 0.075 358.6 272.179
  3 0.125 398.7 263.069
  4 0.175 420.8 285.736
  5 0.225 411.4 285.54
  6 0.275 401.4 249
  7 0.325 399.7 277.938
  8 0.375 412.3 275.248
  9 0.425 470 264.382
  10 0.475 427.9 271.819
  11 0.525 435.3 263.893
  12 0.575 472 271.603
  13 0.625 412.4 250.719
  14 0.675 453.8 266.096
  15 0.725 433.9 278.392
  16 0.775 423.6 268.996
  17 0.825 359.5 272.717
  18 0.875 389 280.544
  19 0.925 304.1 282.694
  20 0.975 332 301.434
2900 20 8000.000000000001
  1 0.025 289.5 281.585
  2 0.075 355.1 282.606
  3 0.125 397.2 272.599
  4 0.175 426.4 279.593
  5 0.225 407 283.23
  6 0.275 401.3 252.146
  7 0.325 398.7 271.677
  8 0.375 416.4 267.815
  9 0.425 469.3 258.128
  10 0.475 425.2 269.63
  11 0.525 435.5 263.46
  12 0.575 474.7 271.713
  13 0.625 409.4 247.888
  14 0.675 451.5 264.314
  15 0.725 435.2 275.07
  16 0.775 425.6 278.748
  17 0.825 363 267.216
  18 0.875 381.6 289.342
  19 0.925 305.8 276.506
  20 0.975 331.6 298.364
2950 20 7999.999999999999
  1 0.025 290.2 281.03
  2 0.075 352.7 278.392
  3 0.125 401.9 272.77
  4 0.175 418.2 281.981
  5 0.225 408.4 281.876
  6 0.275 402.4 252.549
  7 0.325 396.6 271.225
  8 0.375 418.1 269.712
  9 0.425 465.3 261.895
  10 0.475 429 265.417
  11 0.525 440.7 266.829
  12 0.575 467.7 273.116
  13 0.625 412.9 247.491
  14 0.675 442.6 263.667
  15 0.725 442.8 277.152
  16 0.775 425 279.189
  17 0.825 361.4 262.206
  18 0.875 376.7 288.018
  19 0.925 311.4 272.087
  20 0.975 336 296.196
3000 20 8000.000000000001
  1 0.025 299.4 277.263
  2 0.075 354 271.558
  3 0.125 399.7 269.412
  4 0.175 414.6 271.643
  5 0.225 411.8 276.645
  6 0.275 406 252.393
  7 0.325 394.7 269.836
  8 0.375 413.4 266.482
  9 0.425 468.1 262.29
  10 0.475 421.9 264.39
  11 0.525 443.5 265.646
  12 0.575 469.5 273.129
  13 0.625 410.5 253.071
  14 0.675 442.7 263.807
  15 0.725 442 272.624
  16 0.775 429 272.07
  17 0.825 359.3 258.774
  18 0.875 374.3 282.402
  19 0.925 312.6 276.104
  20 0.975 333 294.844
3050 20 8000
  1 0.025 302.9 284.647
  2 0.075 355.7 276.122
  3 0.125 395.4 266.173
  4 0.175 411.6 276.334
  5 0.225 416.9 278.097
  6 0.275 405.6 262.909
  7 0.325 395.8 274.743
  8 0.375 412.3 256.851
  9 0.425 465.3 268.146
  10 0.475 418 265.706
  11 0.525 444.9 275.32
  12 0.575 473 275.795
  13 0.625 413.3 259.474
  14 0.675 435.7 259.109
  15 0.725 445.8 270.595
  16 0.775 431.8 272.678
  17 0.825 355.4 261.568
  18 0.875 378 276.879
  19 0.925 305.2 288.605
  20 0.975 337.4 300.792
3100 20 7999.999999999999
  1 0.025 307.6 268.084
  2 0.075 353.1 289.584
  3 0.125 405.9 254.933
  4 0.175 403.4 282.559
  5 0.225 415.9 274.809
  6 0.275 403.4 261.009
  7 0.325 397.8 269.995
  8 0.375 410.8 263.397
  9 0.425 469.6 267.046
  10 0.475 410.1 267.549
  11 0.525 438.9 271.721
  12 0.575 476.9 277.383
  13 0.625 419.2 253.551
  14 0.675 426.8 258.701
  15 0.725 451.7 277.108
  16 0.775 432 268.846
  17 0.825 352.2 257.722
  18 0.875 381.4 281.682
  19 0.925 303.1 286.285
  20 0.975 340.2 295.123
3150 20 7999.999999999999
  1 0.025 313.5 277.805
  2 0.075 353 279.384
  3 0.125 403 264.327
  4 0.175 401.5 271.655
  5 0.225 422.3 276.22
  6 0.275 406.9 262.46
  7 0.325 394.8 267.448
  8 0.375 407.9 274.117
  9 0.425 469.9 267.681
  10 0.475 411.1 259.355
  11 0.525 433 275.568
  12 0.575 480.5 277.363
  13 0.625 420.2 263.914
  14 0.675 421.2 251.731
  15 0.725 458.4 273.571
  16 0.775 430.5 278.815
  17 0.825 346 256.964
  18 0.875 386.1 281.872
  19 0.925 301.7 295.091
  20 0.975 338.5 292.118
3200 20 8000
  1 0.025 320.7 288.693
  2 0.075 350.6 275.361
  3 0.125 402.4 265.119
  4 0.175 403.1 276.665
  5 0.225 421.2 276.175
  6 0.275 406.6 264.229
  7 0.325 391.3 267.667
  8 0.375 413.5 279.224
  9 0.425 466.7 264.806
  10 0.475 409.9 272.271
  11 0.525 434.8 274.199
  12 0.575 474.3 280.187
  13 0.625 415 265.358
  14 0.675 433.8 252.652
  15 0.725 456 282.074
  16 0.775 427.5 276.496
  17 0.825 346.5 257.401
  18 0.875 387 286.678
  19 0.925 304.2 300.02
  20 0.975 334.9 287.961
3250 20 8000
  1 0.025 322.7 287.908
  2 0.075 357.5 274.339
  3 0.125 396.3 262.129
  4 0.175 403.1 278.537
  5 0.225 422.1 286.801
  6 0.275 407.8 255.602
  7 0.325 382.6 284.721
  8 0.375 422.6 270.945
  9 0.425 470.3 267.223
  10 0.475 402.6 255.69
  11 0.525 431.3 280.564
  12 0.575 483.7 276.649
  13 0.625 399.5 257.965
  14 0.675 445.1 260.913
  15 0.725 448.8 276.996
  16 0.775 429.5 278.673
  17 0.825 346.2 252.709
  18 0.875 385.6 290.065
  19 0.925 309 295.136
  20 0.975 333.7 290.837
3300 20 8000
  1 0.025 330 284.512
  2 0.075 358.2 279.091
  3 0.125 395.3 267.98
  4 0.175 397.3 281.862
  5 0.225 424.9 282.796
  6 0.275 409.4 265.472
  7 0.325 383.4 277.085
  8 0.375 420.4 287.877
  9 0.425 467.9 259.177
  10 0.475 408.7 266.187
  11 0.525 424.3 272.934
  12 0.575 486.1 274.981
  13 0.625 393.9 273.745
  14 0.675 452.1 255.244
  15 0.725 443.2 278.348
  16 0.775 434.1 281.341
  17 0.825 348.4 263.802
  18 0.875 381.4 284.768
  19 0.925 314.8 305.69
  20 0.975 326.2 295.789
3350 20 7999.999999999998
  1 0.025 328.9 295.44
  2 0.075 361.7 278.135
  3 0.125 400 270.229
  4 0.175 389.6 278.371
  5 0.225 422.9 276.445
  6 0.275 406.4 267.798
  7 0.325 393.7 280.918
  8 0.375 412.9 279.908
  9 0.425 468.4 265.293
  10 0.475 412.1 260.535
  11 0.525 427 274.805
  12 0.575 480.9 275.899
  13 0.625 389.2 263.392
  14 0.675 448.4 257.596
  15 0.725 447.7 271.232
  16 0.775 439.7 277.686
  17 0.825 345.3 268.102
  18 0.875 377.4 289.746
  19 0.925 314.9 305.361
  20 0.975 332.9 286.677
3400 20 8000
  1 0.025 328.1 290.888
  2 0.075 366.6 267.075
  3 0.125 397.7 268.896
  4 0.175 384.6 276.236
  5 0.225 419.2 280.57
  6 0.275 411 271.96
  7 0.325 403 269.434
  8 0.375 408.9 277.37
  9 0.425 466.8 265.031
  10 0.475 409 257.984
  11 0.525 428.5 273.018
  12 0.575 474 281.335
  13 0.625 393.4 256.326
  14 0.675 454.1 269.773
  15 0.725 442.7 270.014
  16 0.775 436.5 277.178
  17 0.825 344.8 274.123
  18 0.875 381.8 282.683
  19 0.925 313.5 303.589
  20 0.975 335.8 292.654
3450 20 8000
  1 0.025 328.9 286.779
  2 0.075 369.1 270.362
  3 0.125 399.5 261.608
  4 0.175 384.5 279.02
  5 0.225 411.8 276.67
  6 0.275 408.1 259.616
  7 0.325 412.1 275.805
  8 0.375 404.8 273.698
  9 0.425 470.9 259.918
  10 0.475 406.4 264.027
  11 0.525 424.5 269.277
  12 0.575 473.1 275.485
  13 0.625 395.2 257.276
  14 0.675 455.5 266.498
  15 0.725 441.4 273.479
  16 0.775 435.5 280.142
  17 0.825 345.7 279.771
  18 0.875 378.1 282.777
  19 0.925 317.7 308.189
  20 0.975 337.2 290.064
3500 20 8000
  1 0.025 326.2 280.749
  2 0.075 378.8 267.933
  3 0.125 397.7 260.905
  4 0.175 380.6 270.355
