# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1250 20 7999.999999999999
  1 0.025 236.7 281.974
  2 0.075 348.2 265.717
  3 0.125 389 247.255
  4 0.175 441.5 250.548
  5 0.225 420.2 262.29
  6 0.275 386.9 259.448
  7 0.325 425.4 270.492
  8 0.375 433.6 267.228
  9 0.425 431.7 271.244
  10 0.475 470.4 263.479
  11 0.525 425.1 259.664
  12 0.575 467.3 259.036
  13 0.625 446.7 256.631
  14 0.675 499.1 275.822
  15 0.725 431.7 272.041
  16 0.775 447 274.593
  17 0.825 389.2 273.086
  18 0.875 331.4 255.204
  19 0.925 318.4 258.3
  20 0.975 260.5 291.611
1300 20 8000.000000000001
  1 0.025 236 282.973
  2 0.075 353.9 276.911
  3 0.125 379.8 251.974
  4 0.175 440.8 249.288
  5 0.225 426.5 270.836
  6 0.275 390 276.292
  7 0.325 415.8 272.964
  8 0.375 442.9 266.901
  9 0.425 428.3 273.491
  10 0.475 468.4 262.901
  11 0.525 424.8 261.937
  12 0.575 464.8 262.186
  13 0.625 449.2 262.444
  14 0.675 498.2 275.819
  15 0.725 432.7 279.12
  16 0.775 440.6 272.255
  17 0.825 398.7 275.472
  18 0.875 325.8 256.436
  19 0.925 321 267.335
  20 0.975 261.8 294.284
1350 20 7999.999999999999
  1 0.025 238.3 290.983
  2 0.075 356.6 266.023
  3 0.125 371.6 251.082
  4 0.175 442.8 250.599
  5 0.225 431.9 268.166
  6 0.275 393.2 267.93
  7 0.325 404.7 281.846
  8 0.375 448.1 265.981
  9 0.425 428.7 270.388
  10 0.475 466.4 266.629
  11 0.525 419.5 260.462
  12 0.575 467.1 263.371
  13 0.625 452.6 256.459
  14 0.675 496 275.918
  15 0.725 428.4 275.188
  16 0.775 445.4 268.534
  17 0.825 397.8 276.772
  18 0.875 324.9 262.333
  19 0.925 321.9 262.151
  20 0.975 264.1 285.672
1400 20 7999.999999999999
  1 0.025 242 274.486
  2 0.075 356.2 274.394
  3 0.125 369.2 244.371
  4 0.175 450.7 247.878
  5 0.225 423.2 267.594
  6 0.275 398.4 259.941
  7 0.325 402.3 274.516
  8 0.375 444.1 268.607
  9 0.425 438.9 268.959
  10 0.475 459.4 263.926
  11 0.525 416.9 264.064
  12 0.575 469.9 254.703
  13 0.625 453.3 267.512
  14 0.675 497.4 271.363
  15 0.725 420.7 279.28
  16 0.775 448.1 262.25
  17 0.825 398.2 275.251
  18 0.875 322.4 273.014
  19 0.925 324.7 261.086
  20 0.975 264 288.064
1450 20 8000.000000000001
  1 0.025 246.3 284.687
  2 0.075 352.4 273.609
  3 0.125 371.7 250.259
  4 0.175 449.8 251.067
  5 0.225 421.9 279.162
  6 0.275 401.9 273.097
  7 0.325 398.2 261.338
  8 0.375 444 272.63
  9 0.425 443 274.714
  10 0.475 460.9 269.644
  11 0.525 404.9 267.407
  12 0.575 478.3 260.693
  13 0.625 453.7 259.884
  14 0.675 494.3 282.02
  15 0.725 423.8 272.46
  16 0.775 438 280.356
  17 0.825 403 284.063
  18 0.875 323 277.454
  19 0.925 327.8 261.583
  20 0.975 263.1 294.937
1500 20 8000
  1 0.025 247.8 277.018
  2 0.075 352.8 281.592
  3 0.125 368.9 251.94
  4 0.175 452.2 255.684
  5 0.225 419.8 277.209
  6 0.275 403.4 271.607
  7 0.325 401.9 272.249
  8 0.375 435.1 261.708
  9 0.425 448.6 291.831
  10 0.475 462.9 265.428
  11 0.525 397.8 269.944
  12 0.575 483.3 258.04
  13 0.625 458.8 274.391
  14 0.675 484.9 280.394
  15 0.725 427.1 275.437
  16 0.775 431.8 276.774
  17 0.825 399.1 288.091
  18 0.875 332.7 271.635
  19 0.925 329.4 266.614
  20 0.975 261.7 296.089
1550 20 8000
  1 0.025 251.9 297.919
  2 0.075 350.1 285.805
  3 0.125 370.6 259.99
  4 0.175 448.7 259.877
  5 0.225 427.9 289.572
  6 0.275 396.5 274.561
  7 0.325 405.1 275.869
  8 0.375 437.2 275.448
  9 0.425 450.6 294.958
  10 0.475 458.1 273.225
  11 0.525 394.3 277.538
  12 0.575 488.6 266.563
  13 0.625 455.8 281.748
  14 0.675 481.3 291.705
  15 0.725 429.4 276.571
  16 0.775 432.3 279.455
  17 0.825 396.5 294.316
  18 0.875 335.2 282.507
  19 0.925 328.3 262.494
  20 0.975 261.6 297.2
1600 20 8000
  1 0.025 253.8 286.355
  2 0.075 348.9 294.615
  3 0.125 375.7 261.77
  4 0.175 434.3 261.846
  5 0.225 438.1 285.736
  6 0.275 397.4 280.644
  7 0.325 401.7 273.922
  8 0.375 436.2 274.879
  9 0.425 448.8 294.726
  10 0.475 460 271.885
  11 0.525 390.4 277.89
  12 0.575 493.9 269.927
  13 0.625 449.9 267.101
  14 0.675 481.1 289.337
  15 0.725 437.1 275.191
  16 0.775 430.4 285.726
  17 0.825 393.1 292.642
  18 0.875 335 284.689
  19 0.925 324.4 269.841
  20 0.975 269.8 286.342
1650 20 7999.999999999999
  1 0.025 251.2 288.439
  2 0.075 345.7 286.218
  3 0.125 382.6 269.708
  4 0.175 424.2 255.21
  5 0.225 449.2 286.584
  6 0.275 395.5 269.396
  7 0.325 390.2 277.011
  8 0.375 448 277.091
  9 0.425 448.7 297.263
  10 0.475 457.5 271.855
  11 0.525 388.1 271.077
  12 0.575 494.4 266.114
  13 0.625 451.9 272.95
  14 0.675 475.3 287.91
  15 0.725 444 276.317
  16 0.775 425.5 283.116
  17 0.825 393.9 295.318
  18 0.875 336.5 274.315
  19 0.925 321 273.033
  20 0.975 276.6 279.452
1700 20 8000.000000000001
  1 0.025 258.9 298.419
  2 0.075 338.1 275.019
  3 0.125 388.7 266.461
  4 0.175 416.4 259.15
  5 0.225 454.8 284.025
  6 0.275 396.2 268.245
  7 0.325 390.2 275.51
  8 0.375 451.4 269.027
  9 0.425 443.2 291.689
  10 0.475 452.9 273.291
  11 0.525 391.3 267.988
  12 0.575 499.4 259.8
  13 0.625 450.8 275.31
  14 0.675 471.2 280.982
  15 0.725 446.6 272.215
  16 0.775 419.1 286.815
  17 0.825 394.3 290.146
  18 0.875 344.6 291.896
  19 0.925 312.6 263.821
  20 0.975 279.3 271.221
1750 20 7999.999999999999
  1 0.025 265.3 280.356
  2 0.075 340.8 277.108
  3 0.125 380.9 270.418
  4 0.175 422.9 256.915
  5 0.225 448 281.718
  6 0.275 397 263.266
  7 0.325 394.6 273.839
  8 0.375 453.5 270.96
  9 0.425 433.4 290.083
  10 0.475 455.3 263.899
  11 0.525 394.9 258.453
  12 0.575 499.9 261.363
