# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1250 20 9999.999999999998
  14 0.675 530.2 296.012
  15 0.725 559.7 295.342
  16 0.775 518.5 264.426
  17 0.825 532.7 268.182
  18 0.875 416.3 285.943
  19 0.925 363.6 296.166
  20 0.975 303.5 291.049
3500 20 10000
  1 0.025 360.8 272.33
  2 0.075 413.5 268.308
  3 0.125 484.3 279.028
  4 0.175 539.6 264.799
  5 0.225 532.5 274.431
  6 0.275 535.9 262.218
  7 0.325 607.1 264.242
  8 0.375 589 278.483
  9 0.425 505.3 265.884
  10 0.475 590.1 274.014
  11 0.525 484.7 270.593
  12 0.575 570.2 272.561
  13 0.625 565.7 271.06
  14 0.675 530.7 290.435
  15 0.725 558.3 294.041
  16 0.775 510.2 265.846
  17 0.825 538.1 263.169
  18 0.875 420.3 283.805
  19 0.925 365.6 302.366
  20 0.975 298.1 293.977
3550 20 9999.999999999998
  1 0.025 357.8 270.638
  2 0.075 419.3 269.243
  3 0.125 485.6 276.566
  4 0.175 534.9 264.061
  5 0.225 533.5 268.441
  6 0.275 534.9 266.509
  7 0.325 610.6 260.44
  8 0.375 585.2 280.489
  9 0.425 498.4 263.821
  10 0.475 592.8 266.398
  11 0.525 489.9 264.665
  12 0.575 567 274.221
  13 0.625 565.1 270.332
  14 0.675 533 279.589
  15 0.725 553.4 289.48
  16 0.775 516.5 262.456
  17 0.825 542 262.452
  18 0.875 415.4 286.655
  19 0.925 360.4 289.858
  20 0.975 304.3 287.826
3600 20 10000
  1 0.025 358.3 269.918
  2 0.075 416.9 257.923
  3 0.125 486.6 278.981
  4 0.175 534.7 270.384
  5 0.225 537.4 267.891
  6 0.275 528.7 266.004
  7 0.325 609.9 260.678
  8 0.375 585.7 278.574
  9 0.425 497.9 266.378
  10 0.475 591.2 266.792
  11 0.525 496.8 265.113
  12 0.575 564.1 270.121
  13 0.625 565.5 269.327
  14 0.675 535.9 282.319
  15 0.725 548.6 281.995
  16 0.775 522.5 266.597
  17 0.825 544.2 264.596
  18 0.875 412.4 287.721
  19 0.925 355.4 283.936
  20 0.975 307.3 291.685
3650 20 9999.999999999998
  1 0.025 361 278.374
  2 0.075 419.2 268.085
  3 0.125 490.5 277.3
  4 0.175 526.2 274.669
  5 0.225 541.9 261.774
  6 0.275 525 269.362
  7 0.325 619.3 265.42
  8 0.375 573 272.517
  9 0.425 506.2 271.587
  10 0.475 591.1 269.865
  11 0.525 501.3 272.075
  12 0.575 561 265.283
  13 0.625 557.4 272.133
  14 0.675 537.2 286.702
  15 0.725 549.6 286.463
  16 0.775 524.6 260.953
  17 0.825 545.4 265.266
  18 0.875 410.9 290.258
  19 0.925 352.8 284.502
  20 0.975 306.4 289.85
3700 20 10000
  1 0.025 364.8 277.409
  2 0.075 414.1 267.586
  3 0.125 496.3 273.303
  4 0.175 518.1 277.176
  5 0.225 544.5 260.226
  6 0.275 527.9 272.995
  7 0.325 624.2 272.54
  8 0.375 561.1 271.852
  9 0.425 512.9 272.822
  10 0.475 591.2 268.808
  11 0.525 502.8 278.131
  12 0.575 562.1 264.106
  13 0.625 558.5 269.869
  14 0.675 532.7 293.977
  15 0.725 554.8 290.473
  16 0.775 513.8 254.512
  17 0.825 546.5 270.831
  18 0.875 413.3 288.296
  19 0.925 353.3 292.427
  20 0.975 307.1 284.543
3750 20 9999.999999999998
  1 0.025 367.1 270.594
  2 0.075 406.5 265.539
  3 0.125 501.4 268.589
  4 0.175 520.1 275.737
  5 0.225 540.4 256.063
  6 0.275 535 271.75
  7 0.325 621.3 268.834
  8 0.375 564 270.373
  9 0.425 510.9 271.142
  10 0.475 590.4 264.277
  11 0.525 497.4 278.527
  12 0.575 570.6 264.912
  13 0.625 551.5 266.755
  14 0.675 536.4 291.467
  15 0.725 556.9 287.593
  16 0.775 500.8 254.192
  17 0.825 565.4 272.28
  18 0.875 405.3 279.775
  19 0.925 355 284.185
  20 0.975 303.6 288.797
3800 20 10000.000000000002
  1 0.025 365.2 271.86
  2 0.075 408.5 264.018
  3 0.125 499.5 270.554
  4 0.175 525.5 270.088
  5 0.225 530.8 263.443
  6 0.275 539.9 270.937
  7 0.325 615 267.215
  8 0.375 572.7 267.637
  9 0.425 507.3 271.371
  10 0.475 586.1 265.086
  11 0.525 503.7 280.36
  12 0.575 576.6 275.992
  13 0.625 535.3 263.607
  14 0.675 544 286.094
  15 0.725 562.7 281.571
  16 0.775 493.1 253.67
  17 0.825 570.4 274.169
  18 0.875 405.7 278.66
  19 0.925 352.1 290.327
  20 0.975 305.9 278.573
3850 20 10000.000000000002
  1 0.025 366.6 275.566
  2 0.075 408 270.909
  3 0.125 491.3 267.108
  4 0.175 530.7 273.383
  5 0.225 528.9 265.302
  6 0.275 543.2 279.347
  7 0.325 616.7 266.959
  8 0.375 569.5 271.587
  9 0.425 512.4 265.258
  10 0.475 569.6 267.702
  11 0.525 520.5 277.324
  12 0.575 571.1 283.175
  13 0.625 530.9 264.511
  14 0.675 559.8 288.817
  15 0.725 553.1 289.369
  16 0.775 488.8 244.939
  17 0.825 569.1 277.046
  18 0.875 410.1 277.583
  19 0.925 355.2 302.037
  20 0.975 304.5 274.27
3900 20 10000.000000000002
  1 0.025 366.9 274.781
  2 0.075 413.3 269.928
  3 0.125 487.5 270.356
  4 0.175 531.5 274.989
  5 0.225 529.1 267.205
  6 0.275 547.1 282.115
  7 0.325 615 262.395
  8 0.375 562.8 272.227
  9 0.425 519.5 264.134
  10 0.475 563.6 269.677
  11 0.525 527.9 275.394
  12 0.575 575.5 274.845
  13 0.625 527 258.971
  14 0.675 557.5 289.783
  15 0.725 540.4 296.284
  16 0.775 503.9 245.673
  17 0.825 554.6 273.505
  18 0.875 419.2 286.018
  19 0.925 353.1 298.57
  20 0.975 304.6 273.244
3950 20 10000
  1 0.025 371.1 280.417
  2 0.075 411.9 262.093
  3 0.125 483.4 272.474
  4 0.175 530.4 281.209
  5 0.225 536 261.68
  6 0.275 547 278.627
  7 0.325 617.1 264.927
  8 0.375 553.8 269.576
  9 0.425 531.6 271.831
  10 0.475 558.4 271.045
  11 0.525 531.6 277.022
  12 0.575 573.7 277.964
  13 0.625 534 256.979
  14 0.675 543.2 287.184
  15 0.725 533.5 296.702
  16 0.775 520.6 253.201
  17 0.825 540.9 270.883
  18 0.875 424.2 287.274
  19 0.925 358.5 295.91
  20 0.975 299.1 278.684
4000 20 9999.999999999998
  1 0.025 372.3 287.361
  2 0.075 414.8 262.652
  3 0.125 475.5 270.355
  4 0.175 537.4 276.398
  5 0.225 536.2 266.309
  6 0.275 543.1 274.625
  7 0.325 623 270.588
  8 0.375 551.4 277.021
  9 0.425 532.8 267.456
  10 0.475 557.5 273.39
  11 0.525 529 276.504
  12 0.575 578.1 269.749
  13 0.625 534.9 253.5
  14 0.675 532.9 289.617
  15 0.725 540 293.898
  16 0.775 520.8 256.312
  17 0.825 533.8 269.408
  18 0.875 425.4 286.255
  19 0.925 364.1 298.679
  20 0.975 297 279.562
4050 20 9999.999999999998
  1 0.025 373.1 281.677
  2 0.075 418.6 266.707
  3 0.125 466.4 267.358
  4 0.175 542.7 273.446
  5 0.225 538.4 267.28
  6 0.275 539.7 271.467
  7 0.325 623.8 270.82
  8 0.375 548 276.006
  9 0.425 537.4 265.728
  10 0.475 560.4 267.418
  11 0.525 533.8 277.43
  12 0.575 568.4 268.651
  13 0.625 529.9 247.792
  14 0.675 533.5 293.227
  15 0.725 547.9 286.2
  16 0.775 527.2 255.057
  17 0.825 525 267.087
  18 0.875 420.8 289.664
  19 0.925 363.9 290.822
  20 0.975 301.1 287.239
4100 20 10000
  1 0.025 377.3 280.691
  2 0.075 419 266.38
  3 0.125 466 270.429
  4 0.175 543.5 269.866
  5 0.225 539.5 274.636
  6 0.275 538.7 273.657
  7 0.325 614.8 276.13
  8 0.375 548.3 273.356
  9 0.425 545.2 259.84
  10 0.475 560.7 266.99
  11 0.525 540.4 273.377
  12 0.575 551.4 273.141
  13 0.625 538.2 252.885
  14 0.675 543.2 288.879
  15 0.725 538.8 285.396
  16 0.775 533.7 261.365
  17 0.825 521.5 266.232
  18 0.875 418.1 294.509
  19 0.925 362.7 281.752
  20 0.975 299 280.449
4150 20 10000
  1 0.025 383.4 284.322
  2 0.075 415.6 266.082
  3 0.125 461.1 271.168
  4 0.175 545.6 273.104
  5 0.225 541.4 275.364
  6 0.275 539.5 276.353
  7 0.325 613.2 275.073
  8 0.375 550.1 281.428
  9 0.425 543.7 258.321
  10 0.475 565.8 269.332
  11 0.525 544.6 282.603
  12 0.575 544.7 275.629
  13 0.625 545 267.528
  14 0.675 541.4 286.005
  15 0.725 534.1 283.5
  16 0.775 531.3 261.267
  17 0.825 524.7 270.761
  18 0.875 417.5 292.001
  19 0.925 355.5 283.521
  20 0.975 301.8 279.922
4200 20 9999.999999999996
  1 0.025 384.7 285.716
  2 0.075 421.7 261.863
  3 0.125 452.2 265.684
  4 0.175 549.1 265.846
  5 0.225 544.2 270.305
  6 0.275 543 277.655
  7 0.325 613.1 278.565
  8 0.375 545.9 278.079
  9 0.425 544.4 260.115
  10 0.475 558.2 269.674
  11 0.525 552.9 282.179
  12 0.575 542.7 273.815
  13 0.625 545.1 266.275
  14 0.675 542.4 275.684
  15 0.725 535.7 279.68
  16 0.775 522.6 259.418
  17 0.825 534.3 273.966
  18 0.875 414 289.176
  19 0.925 350.5 292.351
  20 0.975 303.3 279.692
