# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1250 20 9999.999999999998
  7 0.325 569.6 277.339
  8 0.375 588.8 255.428
  9 0.425 497.6 264.282
  10 0.475 524.8 266.961
  11 0.525 500.6 278.333
  12 0.575 525.2 266.202
  13 0.625 564.9 269.38
  14 0.675 560.2 292.116
  15 0.725 612.3 277.945
  16 0.775 489 287.503
  17 0.825 551 281.125
  18 0.875 469.8 283.306
  19 0.925 380.3 283.41
  20 0.975 227 305.666
1800 20 10000
  1 0.025 311.3 265.751
  2 0.075 453.5 272.566
  3 0.125 488.5 267.598
  4 0.175 577.6 266.02
  5 0.225 549.1 264.083
  6 0.275 562 277.625
  7 0.325 573 274.592
  8 0.375 584.5 254.472
  9 0.425 493.6 259.601
  10 0.475 534.7 270.437
  11 0.525 500.4 278.071
  12 0.575 530.9 270.335
  13 0.625 561.6 264.284
  14 0.675 559.2 282.874
  15 0.725 612.6 273.355
  16 0.775 492.2 286.597
  17 0.825 551.6 282.484
  18 0.875 464.4 282.038
  19 0.925 383.3 281.048
  20 0.975 216 293.276
1850 20 10000
  1 0.025 308 265.094
  2 0.075 458.2 275.092
  3 0.125 487.3 268.721
  4 0.175 560.2 258.804
  5 0.225 560.3 261.369
  6 0.275 563.9 276.439
  7 0.325 576.3 269.405
  8 0.375 580.3 252.677
  9 0.425 492.5 253.991
  10 0.475 537 264.471
  11 0.525 498.8 274.896
  12 0.575 534.4 262.369
  13 0.625 560.4 268.402
  14 0.675 555.7 284.515
  15 0.725 613.4 271.868
  16 0.775 493.7 279.767
  17 0.825 551 279.915
  18 0.875 459.8 278.753
  19 0.925 389.7 283.082
  20 0.975 219.1 296.173
1900 20 10000
  1 0.025 307.4 277.251
  2 0.075 456.2 275.301
  3 0.125 489.8 267.623
  4 0.175 565.4 265.329
  5 0.225 547.8 269.418
  6 0.275 565.6 282.09
  7 0.325 575.9 276.532
  8 0.375 580.1 255.436
  9 0.425 498.9 253.944
  10 0.475 535.8 266.369
  11 0.525 495.4 278.667
  12 0.575 542.7 264.248
  13 0.625 554.4 273.837
  14 0.675 557.5 285.813
  15 0.725 608.5 275.01
  16 0.775 495.6 276.277
  17 0.825 553 282.347
  18 0.875 453.7 264.941
  19 0.925 394.7 284.34
  20 0.975 221.6 295.739
1950 20 10000.000000000002
  1 0.025 312.1 275.253
  2 0.075 451.2 273.48
  3 0.125 501.2 267.479
  4 0.175 561.8 269.626
  5 0.225 548 272.125
  6 0.275 558.9 277.926
  7 0.325 582.5 282.791
  8 0.375 574.1 259.352
  9 0.425 496.2 259.047
  10 0.475 538.1 269.892
  11 0.525 502.8 285.686
  12 0.575 538.8 261.554
  13 0.625 551.6 277.898
  14 0.675 562.8 290.436
  15 0.725 599.1 274.118
  16 0.775 497.3 278.454
  17 0.825 561.1 280.127
  18 0.875 443.8 266.143
  19 0.925 397.5 279.292
  20 0.975 221.1 301.596
2000 20 10000
  1 0.025 316 275.421
  2 0.075 445.8 277.541
  3 0.125 508.6 266.725
  4 0.175 558.9 258.759
  5 0.225 547.2 269.07
  6 0.275 562 268.381
  7 0.325 581.4 279.764
  8 0.375 571.5 256.217
  9 0.425 501.1 252.971
  10 0.475 537.7 269.864
  11 0.525 508.5 279.558
  12 0.575 533.3 257.288
  13 0.625 554.3 272.752
  14 0.675 560.4 286.858
  15 0.725 590.6 266.726
  16 0.775 502.6 278.804
  17 0.825 560.2 273.991
  18 0.875 442.7 270.583
  19 0.925 401.8 273.546
  20 0.975 215.4 293.608
2050 20 10000
  1 0.025 322.8 276.642
  2 0.075 430.9 263.021
  3 0.125 508.4 276.215
  4 0.175 559.7 264.468
  5 0.225 556.6 268.037
  6 0.275 558.7 276.138
  7 0.325 583.9 273.845
  8 0.375 564.2 253.979
  9 0.425 504.2 254.778
  10 0.475 544.2 275.824
