Step V Dens T P KE PE U H
3450 261366.529794048 0.661035032733063 280.283836679841 250.309956936953 8353.89329940106 -995.261114665574 7358.63218473549 8312.75435333905
3500 261366.529794048 0.661035032733063 277.483979160735 -150.008793518487 8270.4432109293 -905.184918242199 7365.2582926871 6793.46036210173
3550 261366.529794048 0.661035032733063 266.693467521407 -106.257617243609 7948.83072000334 -580.113324431344 7368.717395572 6963.68856876965
3600 261366.529794048 0.661035032733063 273.640038183621 42.0773994744095 8155.87409002531 -778.19693488801 7377.6771551373 7538.06621886853
3650 261366.529794048 0.661035032733063 279.054105343396 -132.191091333581 8317.24100973183 -916.701888602894 7400.53912112894 6896.65804393696
3700 261366.529794048 0.661035032733063 270.559833668832 27.2889802541024 8064.06822579251 -647.007788380689 7417.06043741182 7521.07955569876
3750 261366.529794048 0.661035032733063 269.193047100607 -59.5072994478999 8023.33098853593 -606.698857386863 7416.63213114907 7189.80442404642
3800 261366.529794048 0.661035032733063 276.31078226606 -220.944030602549 8235.47593706364 -802.002775193535 7433.4731618701 6591.28693724615
3850 261366.529794048 0.661035032733063 276.033676600532 231.708836684441 8227.2167695358 -758.522513858957 7468.69425567684 8351.91336708299
3900 261366.529794048 0.661035032733063 268.346884274165 -115.876481165509 7998.11100421665 -510.295775901677 7487.81522831497 7046.12157436403
3950 261366.529794048 0.661035032733063 275.913380631187 -155.179651013296 8223.63133377127 -738.926752395653 7484.70458137561 6893.19656883082
4000 261366.529794048 0.661035032733063 275.211018940793 155.483815406477 8202.69735952344 -738.577783191363 7464.11957633207 8056.78699137921
4050 261366.529794048 0.661035032733063 270.997485164971 -112.437281983981 8077.1124810174 -640.122742240693 7436.9897387767 7008.40549613921
4100 261366.529794048 0.661035032733063 270.90726760775 -89.8686189974683 8074.42353592632 -659.557735962944 7414.86579996337 7072.30794610673
4150 261366.529794048 0.661035032733063 277.46417529134 67.9764517204026 8269.85295423165 -898.957571741937 7370.89538248972 7630.00548870807
4200 261366.529794048 0.661035032733063 270.657401064829 -126.998962439866 8066.97623370802 -761.409811979343 7305.56642172868 6821.47650802202
