Step V Dens T P KE PE U H
1200 261366.529794048 0.661035032733064 276.289523691773 -589.308444314592 8234.84232271256 -1106.90090160501 7127.94142110756 4881.63744764056
1250 261366.529794048 0.661035032733064 280.569482983586 375.748198380945 8362.40702167317 -1346.1923540116 7016.21466766157 8448.47765182408
1300 261366.529794048 0.661035032733064 248.698822427329 -262.124978104695 7412.49816919616 -460.707212897783 6951.79095629838 5952.63273017393
1350 261366.529794048 0.661035032733064 262.404226904822 207.848833415502 7820.98939004703 -898.442058545604 6922.54733150142 7714.81777134681
1400 261366.529794048 0.661035032733064 271.257004388441 -439.550047797109 8084.84748253478 -1126.61295031484 6958.23453221994 5282.77403537838
1450 261366.529794048 0.661035032733064 264.032402072967 481.977265775318 7869.51734580977 -829.506842760596 7040.01050304917 8877.19348876232
1500 261366.529794048 0.661035032733064 256.299836195165 -582.122834486189 7639.04729431146 -486.581658476827 7152.46563583464 4933.55150221305
1550 261366.529794048 0.661035032733064 283.719303354339 229.142349359471 8456.28779482529 -1192.4605478842 7263.82724694109 8137.26351757591
1600 261366.529794048 0.661035032733064 281.357407947257 42.5174254553565 8385.89121952207 -1044.55140323469 7341.33981628738 7503.4061546597
1650 261366.529794048 0.661035032733064 268.810488312113 -76.9830820745133 8011.92877805643 -653.596058322806 7358.33271973362 7064.89147547173
1700 261366.529794048 0.661035032733064 274.800639726443 -155.509506143901 8190.46595792147 -846.32778543465 7344.13817248682 6751.37283044388
1750 261366.529794048 0.661035032733064 288.314651800625 454.963622327628 8593.25270528388 -1281.42478107763 7311.82792420625 9046.04131021353
1800 261366.529794048 0.661035032733064 273.041175181439 -227.940126834951 8138.0249065674 -859.089088153277 7278.93581841412 6410.0821348097
1850 261366.529794048 0.661035032733064 269.34222904948 161.054727621735 8027.77737437768 -764.433752847899 7263.34362152978 7877.24603221578
1900 261366.529794048 0.661035032733064 282.09868424422 161.595906144981 8407.98504827639 -1150.92815647705 7257.05689179934 7873.02214661876
1950 261366.529794048 0.661035032733064 281.050351889152 -157.497726367548 8376.73937695873 -1125.03251388489 7251.70686307384 6651.36289725316
2000 261366.529794048 0.661035032733064 263.609250826853 197.654109996494 7856.90527227241 -593.483964723769 7263.42130754864 8016.83188046788
2050 261366.529794048 0.661035032733064 273.138453242149 -72.8531460261228 8140.92429081006 -855.484867131506 7285.43942367855 7007.74051578595
2100 261366.529794048 0.661035032733064 280.209255722395 -25.1276368286523 8351.67040503778 -1047.15631523634 7304.51408980144 7208.7334998632
2150 261366.529794048 0.661035032733064 267.488829368203 87.4239167795477 7972.53657504392 -655.792728157748 7316.74384688617 7649.98307590545
2200 261366.529794048 0.661035032733064 265.202408585342 102.444158890099 7904.38952994916 -580.690666626795 7323.69886332236 7714.19169164245
2250 261366.529794048 0.661035032733064 277.304324750472 -175.493143283908 8265.08858972858 -946.540415791054 7318.54817393753 6649.60994833081
2300 261366.529794048 0.661035032733064 273.135413966449 255.612488498444 8140.83370483405 -832.092343647776 7308.74136118627 8283.07552205114
2350 261366.529794048 0.661035032733064 260.826117547783 -254.108216794973 7773.95365177664 -470.372005641866 7303.58164613478 6334.98141210785
2400 261366.529794048 0.661035032733064 273.440740669933 108.38340705032 8149.93400377593 -843.141294500082 7306.79270927584 7719.92454246752
2450 261366.529794048 0.661035032733064 279.851085030063 34.3754515338847 8340.99508468342 -1021.50539533796 7319.48968934546 7450.52075485156
2500 261366.529794048 0.661035032733064 269.902540779287 -51.1083168234934 8044.47753254825 -721.20687677766 7323.27065577059 7128.45787773319
2550 261366.529794048 0.661035032733064 266.928975044715 -273.673639100499 7955.8500499234 -645.405990768909 7310.44405915449 6267.26507728935
2600 261366.529794048 0.661035032733064 280.025645850048 450.780615978752 8346.19789081622 -1051.65468456692 7294.5432062493 9012.81196449302
2650 261366.529794048 0.661035032733064 273.420992707451 -378.670060613898 8149.34541339053 -846.18097569774 7303.16443769279 5859.76400792413
2700 261366.529794048 0.661035032733064 265.212021637995 107.936387621456 7904.67604813406 -575.437033246138 7329.23901488792 7740.66691607428
2750 261366.529794048 0.661035032733064 275.930738331658 75.5565098844773 8224.14868211134 -847.121024447855 7377.02765766349 7665.03114719807
2800 261366.529794048 0.661035032733064 279.380056994005 -85.4619169654194 8326.95603769137 -897.14959542723 7429.80644226414 7104.04589104243
2850 261366.529794048 0.661035032733064 269.64207511866 64.4792183122822 8036.71432235816 -573.023304619053 7463.69101773911 7709.47049994114
2900 261366.529794048 0.661035032733064 272.479585085154 66.3402570899452 8121.28664653092 -642.314932665083 7478.97171386583 7731.84503434792
2950 261366.529794048 0.661035032733064 283.160316972233 -100.274415761148 8439.62713880157 -982.325578708709 7457.30156009286 7075.07927779836
3000 261366.529794048 0.661035032733064 273.790748407679 127.827098859179 8160.36602629187 -763.438118457337 7396.92790783453 7884.17448109227
3050 261366.529794048 0.661035032733063 263.886784052656 7.85379764978484 7865.17718328539 -535.436305195742 7329.74087808965 7359.6776913794
3100 261366.529794048 0.661035032733063 273.896951412748 -162.566758517478 8163.53141956938 -882.473853485827 7281.05756608356 6661.39165235957
3150 261366.529794048 0.661035032733063 276.345955422131 346.235075174056 8236.5242771902 -987.359573305542 7249.16470388465 8568.9306645128
3200 261366.529794048 0.661035032733063 265.277174135258 -221.2476782455 7906.61792611306 -653.59718755369 7253.02073855937 6409.67708116235
3250 261366.529794048 0.661035032733063 270.104463835607 -105.155881365 8050.49587341004 -771.290926487066 7279.20494692297 6878.37567589775
3300 261366.529794048 0.661035032733063 278.757332167777 168.428328033379 8308.39564971175 -1005.5341781058 7302.86147160596 7944.87029763902
3350 261366.529794048 0.661035032733063 269.976961231742 -192.155036236728 8046.69564304106 -723.834305791815 7322.86133724925 6590.41192882055
3400 261366.529794048 0.661035032733063 267.192423316878 -244.92254841555 7963.70215720734 -620.099526209329 7343.60263099801 6410.01598548948
