Step V Dens T P KE PE U H
3650 192359.834653176 1.03606806307377 271.392869139519 -235.001681008489 6470.95576404349 9074.40498952003 15545.3607535635 14886.0938811703
3700 192359.834653176 1.03606806307377 280.508071072448 538.346507113277 6688.29407759357 8900.76181653537 15589.0558941289 17099.3175079409
3750 192359.834653176 1.03606806307377 274.294841324461 -348.20848413092 6540.14893664519 9090.14321101444 15630.2921476596 14653.4382064936
3800 192359.834653176 1.03606806307377 273.359124834704 221.6365683006 6517.83818090536 9144.65853927786 15662.4967201832 16284.2694945926
3850 192359.834653176 1.03606806307377 278.407757447542 205.17048035098 6638.21525053937 9043.4184971319 15681.6337476713 16257.2130384574
3900 192359.834653176 1.03606806307377 270.351030729009 -191.52532270818 6446.11469032968 9240.55232796562 15686.6670182953 15149.3674553983
3950 192359.834653176 1.03606806307377 273.972805116185 15.6733457243841 6532.47046644521 9143.74119895101 15676.2116653962 15720.1812130663
4000 192359.834653176 1.03606806307377 270.107940232847 648.951783790283 6440.31856218412 9210.75713431709 15651.0756965012 17471.6261325552
4050 192359.834653176 1.03606806307377 273.67921806531 -86.7283787542527 6525.47032371806 9095.62331953924 15621.0936432573 15377.7883751261
4100 192359.834653176 1.03606806307377 273.807569326701 121.18028984898 6528.5306669664 9064.77198389126 15593.3026508577 15933.2583070964
4150 192359.834653176 1.03606806307377 271.914078839721 -161.517068983118 6483.38322731651 9091.04766227279 15574.4308895893 15121.3156078191
4200 192359.834653176 1.03606806307377 276.098907684791 156.007434834918 6583.16419216795 8992.81345975255 15575.9776519205 16013.6363664979
